시도,설립별,기관명,장애영역,교장명,교장실,행정실,교무실,팩스,우편번호,주소,홈페이지
서울,공립,서울정진학교,지적장애,김현진,02-2688-1302,02-2688-1304,02-2688-1303,02-2625-4076,8259,"서울특별시 구로구 부일로9길 158 (궁동, 서울정진학교)",jungjin.sen.sc.kr
서울,공립,서울나래학교,지체장애,양한재,02-2058-0191,02-2058-0193,02-2058-0190,02-2058-0192,6793,"서울특별시 서초구 염곡안1길 25 , 서울나래학교 (염곡동, 언남초등학교)",www.snarae.sen.sc.kr
서울,공립,서울정민학교,지체장애,김형근,02-978-3399,02-978-8407,02-978-8405,02-978-8408,1810,"서울특별시 노원구 공릉로58길 24 (하계동, 서울정민학교)",jeongmin.sen.sc.kr
서울,공립,서울정애학교,정서장애,임영숙,02-540-7975,02-540-7264,02-540-7826,02-540-7265,6086,"서울특별시 강남구 봉은사로81길 16 서울정애학교 (삼성1동,서울정애학교)",jungae.sen.sc.kr
서울,사립,서울효정학교,시각장애,황경선,02-981-1021,02-981-2022,02-981-1022,02-981-2029,1109,"서울특별시 강북구 삼양로63길 33 , 서울효정학교 (미아동)",hyojeong.sen.sc.kr
서울,사립,한빛맹학교,시각장애,김양수,02-987-2024,02-987-2023,02-989-9135,02-980-8351,1103,"서울특별시 강북구 삼양로73가길 47 , 한빛맹학교 (수유동)",https://hanbit.sen.sc.kr
서울,사립,서울삼성학교,청각장애,최성철,02-823-0536,02-823-3814,02-823-7430,02-823-3815,7035,"서울특별시 동작구 양녕로30길 19-4 (상도동, 서울삼성학교)",samsung.sen.sc.kr
서울,사립,서울애화학교,청각장애,김인숙,02-987-5161,02-987-5161,02-987-5161,02-985-5579,1157,"서울특별시 강북구 솔매로52길 31 , 서울애화학교 (미아동)",aewha.sen.sc.kr
서울,사립,한국구화학교,청각장애,이영주,02-427-1045,02-428-0874,02-428-0873,02-428-0872,5225,"서울특별시 강동구 고덕로 295-59 (고덕동, 한국구화학교)",kuhwa.sen.sc.kr
서울,사립,광성하늘빛학교,지적장애,성정아,02-474-1446,02-474-1490,02-474-1004,02-474-3434,5511,"서울특별시 송파구 올림픽로 625 , 광성하늘빛학교 (풍납동, 광성교회)",hanulbit.sen.sc.kr
서울,사립,교남학교,지적장애,김미정,02-2607-2457,02-2607-2458,02-2607-2456,02-2601-8746,7662,"서울특별시 강서구 까치산로22길 38 , 교남학교 (화곡동)",kyonam.sen.sc.kr
서울,사립,누리학교,지적장애,이영호,02-824-2777,02-824-3999,02-824-3888,02-813-8308,6954,"서울특별시 동작구 상도로 53 , 누리학교 (대방동)",nuri.sen.sc.kr
서울,사립,다니엘학교,지적장애,박성배,02-2226-3012,02-459-9435,02-445-9435,02-445-9439,6796,"서울특별시 서초구 헌릉로468길 21-16 , 다니엘학교 (내곡동, 다니엘복지원,다니엘학교)",daniel.sen.sc.kr
서울,사립,서울동천학교,지적장애,이상연,02-974-9576,02-974-9576,02-974-9576,02-978-4287,1747,"서울특별시 노원구 노원로18길 41 , 서울동천학교 (하계동)",dongchun.sen.sc.kr
서울,사립,성베드로학교,지적장애,박용숙,02-2682-4288,02-2682-4289,02-2027-7700,02-2683-3092,8359,서울특별시 구로구 연동로 320 (항동) 성베드로학교,stpeters.sen.sc.kr
서울,사립,수도사랑의학교,지적장애,신인수,02-739-9858,02-739-9868,02-739-9867,02-737-1217,3028,"서울특별시 종로구 사직로7길 17 (사직동, 수도사랑의학교)",sudolove.sen.sc.kr
서울,사립,은평대영학교,지적장애,조경아,02-7113-4801,02-357-1702,02-353-2040,02-389-0623,3428,서울특별시 은평구 갈현로11길 30 (구산동),sep.sen.sc.kr
서울,사립,서울새롬학교,지체장애,임헌배,02-840-3500,02-840-3535,02-840-3502,02-884-4832,8709,"서울특별시 관악구 보라매로 44 , 서울새롬학교 (봉천동, 삼육외래센터)",saerom.sen.sc.kr
서울,사립,연세대학교재활학교,지체장애,주예경,02-2123-8130,02-2123-8131,02-2123-8141,02-2123-8144,3722,"서울특별시 서대문구 연세로 50 , 116동, 연세대학교 재활학교 (신촌동, 연세대학교)",yonsei.sen.sc.kr
서울,사립,주몽학교,지체장애,김진호,070-8255-0513,070-8255-0500,070-8255-0505,02-3427-3726,5280,"서울특별시 강동구 상암로 369 , 주몽학교 (상일동)",jumong.sen.sc.kr
서울,사립,밀알학교,정서장애,최병우,02-6958-3636,02-3412-1133,02-3412-1133,02-6958-3777,6350,서울특별시 강남구 일원로 90 밀알학교 (일원동),miral.sen.sc.kr
서울,사립,한국육영학교,정서장애,박문기,02-443-9783,02-431-6878,02-443-9781,02-443-9784,5792,서울특별시 송파구 충민로6길 15 (장지동),yukyoung.sen.sc.kr
부산,공립,부산맹학교,시각장애,조춘근,051-529-3393,051-523-0057,051-524-1046,051-526-3393,47750,"부산광역시 동래구 충렬사로67번길 56 , 부산맹학교 (명장동)",www.busanmaeng.sc.kr
부산,공립,부산배화학교,청각장애,정진영,051-760-2501,051-760-2523,051-760-2500,051-757-8548,48237, 부산광역시 수영구 연수로 310번길 73,"baehwa,sc,kr"
부산,공립,부산솔빛학교,지적장애,오정희,051-319-9001,051-319-9071,051-319-9000,051-305-4591,46908,"부산광역시 사상구 삼덕로5번길 171 (삼락동, 부산솔빛학교)",www.solvit.sc.kr
부산,공립,부산한솔학교,지적장애,신계자,051-260-2801,051-260-2807,051-260-2800,051-271-5335,46765,"부산광역시 강서구 명지오션시티2로 86 (명지동, 한솔학교)",school.busanedu.net/hansol-s/main.do
부산,공립,부산해마루학교,지적장애,김을집,051-720-0090,051-720-0005,051-720-0000,051-728-7451,46005,부산광역시 기장군 정관읍 모전로 23 (정관읍),haemaru.sc.kr
부산,공립,부산혜성학교,지적장애,김진규,051-640-6800,051-640-6706,051-640-6700,051-637-6221,48449,"부산광역시 남구 진남로166번길 10-9 , 부산혜성학교 (대연동)",www.hyeseong-s.sc.kr
부산,공립,부산혜송학교,지적장애,김기화,051-600-6790,051-600-6700,051-600-6701,051-600-6712,49263,"부산광역시 서구 천마로50번길 1 (남부민동, 부산혜송학교)",www.hyesong-s.sc.kr
부산,공립,부산혜남학교,지체장애,조희담,051-640-2601,051-640-2635,051-640-2600,051-637-6058,48449,"부산광역시 남구 진남로166번길 10-19 (대연동, 부산혜남학교)",www.hyenam.sc.kr
부산,사립,부산구화학교,지적장애,이준우,051-642-7101,051-646-5700,051-642-7100,051-646-9110,48455,"부산광역시 남구 수영로123번길 54 (대연동, 부산구화학교)",school.busanedu.net/pskuhaw-s
부산,사립,부산동암학교,지적장애,곽문종,051-758-1713,051-758-1714,051-758-1711,051-758-4130,47584,"부산광역시 연제구 톳고개로 50 , 부산동암학교 (연산동)",www.dongam.sc.kr
부산,사립,부산두레학교,지적장애,이정묵,051-868-6126,051-868-6776,051-868-6118,051-867-0957,47555,"부산광역시 연제구 고분로123번길 13-7 (연산동, 부산두레학교)",doorhe.com
부산,사립,부산성우학교,지적장애,강진운,051-727-0025,051-727-0846,051-727-4505,051-727-0845,46030,"부산광역시 기장군 장안읍 대룡2길 45 (장안읍, 부산성우학교)",sungwoo.sc.kr
부산,사립,부산은애학교,지적장애,김선중,051-508-0736,051-508-0606,051-508-0606,051-508-5544,46201,"부산광역시 금정구 청룡예전로 107 (청룡동, 부산은애학교)",eunae.sc.kr
부산,사립,부산천사의학교,지적장애,김영아,051-208-9477,051-208-9497,051-208-9498,051-206-0026,49360,부산광역시 사하구 오작로88번길 30 (괴정동),school.busanedu.net/cheonsa-s/main.do
부산,사립,부산혜원학교,지적장애,김영숙,051-796-6401,051-796-6413,051-796-6421,051-796-6445,46702,"부산광역시 강서구 공항로 1319 (대저1동, 부산혜원학교)",www.hyewon-s.sc.kr
대구,공립,대구남양학교,지적장애,장경희,053-231-3001,053-231-3013,053-231-3008,053-762-5256,42184,"대구광역시 수성구 무학로37안길 6 (지산동, 대구남양학교)",www.namyang.sc.kr
대구,공립,대구세명학교,지적장애,강대식,053-231-9550,053-231-9566,053-231-9560,053-585-2575,42607,"대구광역시 달서구 새방로 62 (용산동, 대구세명학교)",www.semyung.sc.kr
대구,공립,대구예아람학교,지적장애,하미애,053-235-5220,053-235-5224,053-235-5223,053-611-5206,42974,"대구광역시 달성군 옥포읍 비슬로 1934 (옥포읍, 대구예아람학교)",www.ye-ahram.sc.kr
대구,공립,대구이룸고등학교,지적장애,이숙희,053-233-7590,053-233-7596,053-233-7600,053-233-7598,41528,"대구광역시 북구 복현로8길 16-54 (복현동, 대구이룸고등학교)",www.erum.sc.kr
대구,공립,대구성보학교,지체장애,정경렬,053-231-3161,053-231-3169,053-231-3168,053-943-0556,41528,"대구광역시 북구 동북로71길 9-45 (복현동, 대구성보학교)",www.sungbo.sc.kr
대구,사립,대구광명학교,시각장애,조현관,053-231-3301,053-231-3333,053-231-3300,053-624-5836,42400,"대구광역시 남구 성당로50길 33 (대명동, 대구광명학교)",www.kwangmyung.sc.kr
대구,사립,대구영화학교,청각장애,최정옥,053-231-3391,053-231-3398,053-231-3390,053-628-6629,42400,"대구광역시 남구 성당로50길 33 (대명동, 대구영화학교)",www.younghwa.sc.kr
대구,사립,대구보명학교,지적장애,이석재,053-231-3501,053-231-3456,053-231-3500,053-627-9783,42400,"대구광역시 남구 성당로50길 33 (대명동, 대구보명학교)",www.bomyung.sc.kr
대구,사립,대구선명학교,지적장애,이천우,053-231-3600,053-231-3603,053-231-3611,053-986-7056,41000,"대구광역시 동구 팔공산로 225 (덕곡동, 대구선명학교)",www.smschool.sc.kr
대구,사립,대구보건학교,지체장애,전용석,053-231-3540,053-231-3542,053-231-3541,053-626-4933,42400,"대구광역시 남구 성당로50길 33 (대명동, 대구보건학교)",www.bogun.sc.kr
대구,사립,대구덕희학교,정서장애,김대영,053-231-3771,053-231-3800,053-231-3770,053-626-3061,42400,"대구광역시 남구 성당로50길 33 (대명동, 대구덕희학교)",www.dukhee.sc.kr
인천,공립,미추홀학교,지적장애,이순미,032-627-5580,032-627-5588,032-627-5584,032-473-0180,21521,인천광역시 남동구 수현로136번길 16 미추홀학교,mch.icesc.kr
인천,공립,인천서희학교,지적장애,이중섭,032-510-7102,032-510-7107,032-510-7101,032-569-7156,22686,"인천광역시 서구 독정로 44-4 (당하동, 인천서희학교)",seohee.icesc.kr
인천,공립,인천연일학교,지적장애,정영남,032-627-3620,032-816-6472,032-816-6473,032-817-6444,21935,"인천광역시 연수구 함박뫼로 208 (연수동, 인천연일학교)",yonil.icesc.kr
인천,공립,인천인혜학교,지적장애,강민경,032-627-5440,032-518-8552,032-627-5447,032-627-5441,21007,"인천광역시 계양구 장제로 1304 (장기동, 인혜학교)",inhye.icesc.kr
인천,공립,인천청선학교,지적장애,이정택,032-340-8446,032-340-8448,032-340-8457,032-468-3505,21591,"인천광역시 남동구 인주대로914번길 16 , 인천청선학교 (만수동)",ics.icesc.kr
인천,공립,인천청인학교,지적장애,최영수,032-458-9251,032-458-9252,032-458-9250,032-764-7011,22100,"인천광역시 미추홀구 숙골로135번길 14 (도화동, 인천청인학교)",www.ici.icesc.kr
인천,사립,인천혜광학교,시각장애,이석주,032-522-8345,032-522-8345,032-522-8345,032-522-8340,21435,"인천광역시 부평구 경인로769번길 27 , 인천혜광학교 (십정동)",ichk.icesc.kr
인천,사립,인천성동학교,청각장애,이찬정,032-524-3545,032-524-3545,032-524-3545,032-524-3529,21428,"인천광역시 부평구 경인로 880 , (부평동) 인천성동학교",sd.icesc.kr
인천,사립,인천예림학교,지적장애,노희원,032-502-0804,032-514-8650,032-502-0804,032-528-6322,21425,"인천광역시 부평구 동수로 87 (부평동, 인천예림학교)",yerim.icesc.kr
인천,사립,인천은광학교,지체장애,최은아,032-627-9290,032-627-9292,032-529-5043,032-627-9349,21421,인천광역시 부평구 마분로 8 (부개동),ek.icesc.kr
광주,공립,광주선광학교,지적장애,손현주,062-950-9100,062-950-9201,062-950-9107,062-716-2206,62301,"광주광역시 광산구 목련로394번길 60-3 (신가동, 광주선광학교)",sunkwang.gen.sc.kr
광주,공립,광주선명학교,지적장애,최미순,062-650-9601,062-650-9750,062-650-9740,062-675-4546,61733,"광주광역시 남구 서문대로749번마길 2 (주월동, 선명학교)",sunmyong.gen.sc.kr
광주,공립,광주선우학교,지적장애,임연자,062-712-6911,062-712-6905,062-712-6900,062-712-6997,61029,"광주광역시 북구 모룡대길 61 , 광주선우학교 (일곡동)",http://seonu.gen.sc.kr
광주,사립,광주세광학교,시각장애,김선미,062-606-0400,062-606-0490,062-606-0401,062-606-0429,61900,"광주광역시 서구 유덕로 177 (덕흥동, 광주세광학교)",sekwang.gen.sc.kr
광주,사립,은혜학교,지체장애,고성아,062-970-9800,062-970-9805,062-970-9870,062-970-9840,61005,광주광역시 북구 앰코로 127 (오룡동),eunhae.gen.sc.kr
대전,공립,대전맹학교,시각장애,박준상,042-280-3500,042-280-3502,042-280-3601,042-285-5010,34680,"대전광역시 동구 은어송로 95 (가오동, 대전맹학교)",blsc.djsch.kr
대전,공립,대전가원학교,지적장애,권우미,042-545-4710,042-545-4720,042-545-4711,042-545-8620,35366,"대전광역시 서구 계백로 1095 (가수원동, 대전가원학교)",gawonsc.djsch.kr
대전,공립,대전해든학교,지적장애,한도영,042-939-8301,042-939-8331,042-939-8300,042-932-8994,34315,"대전광역시 대덕구 대청로 232 , 대전해든학교 (용호동, 대전해든학교)",haedeunsc.djsch.kr
대전,공립,대전혜광학교,지적장애,권순오,042-280-0100,042-280-0133,042-280-0123,042-285-0255,34680,"대전광역시 동구 은어송로 111 (가오동, 대전혜광학교)",hyekwangsc.djsch.kr
대전,사립,대전원명학교,지적장애,고은주,042-349-7711,042-349-7720,042-349-7770,042-349-7709,34371,"대전광역시 대덕구 대화1길 2 , 대전원명학교 (대화동, 천성원)",wonmyeongsc.djsch.kr
대전,사립,대전성세재활학교,지체장애,김일수,042-333-6301,042-333-6311,042-333-6321,042-333-6399,34218,대전광역시 유성구 유성대로298번길 175 대전성세재활학교 (용계동),sungsesc.djsch.kr
울산,공립,울산행복학교,지적장애,장혜경,052-255-5801,052-255-5890,052-255-5800,052-254-2211,44936,울산광역시 울주군 언양읍 언양로 594 울산행복학교 (언양읍),haengbok.sc.kr
울산,공립,울산혜인학교,지적장애,박옥례,052-283-8001,052-283-8105,052-283-8008,052-283-8030,44431,"울산광역시 중구 북부순환도로 777 , 울산혜인학교 (약사동)",www.hyein.sc.kr
울산,사립,메아리학교,청각장애,이진,052-295-0701,052-295-2696,052-295-8286,052-286-8286,44213,"울산광역시 북구 갓안1길 8 , 메아리학교 (중산동)",www.meary.sc.kr
울산,사립,태연학교,지적장애,박춘남,052-298-2374,052-298-3704,052-298-3703,052-298-1814,44232,"울산광역시 북구 대안4길 60 (대안동, 태연학원)태연학교",www.taeyoun.sc.kr
세종,공립,세종누리학교,지적장애,정민호,044-410-2113,044-410-2117,044-410-2100,044-410-2196,30062,"세종특별자치시  만남로 326-14 (고운동, 세종누리학교)",sjnuri.sjeduhs.kr
경기,국립,한국선진학교,지적장애,김장하,031-400-8100,031-409-1222,031-409-1222,031-409-1223,15568,"경기도 안산시 상록구 이호로 113 , 한국선진학교 (본오동)",www.seonjin.sc.kr
경기,국립,한국경진학교,정서장애,정인숙,031-931-7810,031-931-7800,031-931-7801,031-931-7802,10408,"경기도 고양시 일산동구 일산로 341 (마두동, 한국경진학교)",www.kj.sc.kr
경기,공립,경은학교,지적장애,박주훈,031-575-0987,031-575-0987,031-575-3668,031-575-0989,12090,"경기도 남양주시 별내면 송산로679번길 6 (별내면, 경은학교)",www.ge-s.sc.kr.
경기,공립,다원학교,지적장애,김효경,031-645-6603,031-645-6600,031-645-6601,031-632-2681,17324,경기도 이천시 부발읍 부발중앙로 46-21 (부발읍) 다원학교,www.icdawon.sc.kr
경기,공립,부천상록학교,지적장애,조동민,032-678-2809,032-678-2811,032-678-2810,032-678-2816,14655,"경기도 부천시 길주로 574 (춘의동, 부천특수학교)",www.sangrok.sc.kr
경기,공립,새솔학교,지적장애,김기매,031-999-9100,031-999-9104,031-999-9110,031-986-9263,10086,"경기도 김포시 김포한강3로 315 , 새솔학교 (장기동)",www.saesol.sc.kr
경기,공립,성남혜은학교,지적장애,이인순,031-734-5021,031-734-5023,031-734-5022,031-733-8973,13145,경기도 성남시 수정구 희망로518번길 8 (단대동),hyeeun-s.goesn.kr
경기,공립,성은학교,지적장애,이경심,031-706-6981,031-706-6982,031-706-6983,031-704-1084,13508,"경기도 성남시 분당구 돌마로 866 (야탑동,성은학교)",https://sbse-s.goesn.kr/sbse-s/main.do
경기,공립,송민학교,지적장애,이민식,031-852-7812,031-852-7813,031-852-7811,031-852-7820,11814,경기도 의정부시 민락로 262 송민학교 (민락동),www.songmin.sc.kr
경기,공립,아름학교,지적장애,한규일,070-4423-9710,070-4423-9720,070-4423-9700,031-216-5244,16495,"경기도 수원시 영통구 광교로 32 (이의동, 아름학교)",www.areum.sc.kr
경기,공립,안양해솔학교,지적장애,박승옥,031-471-5824,031-471-7567,031-471-5824,031-471-7568,13910,"경기도 안양시 만안구 호암로30번길 61 (석수동, 안양해솔학교)",www.haesol.sc.kr
경기,공립,양주도담학교,지적장애,한상욱,031-839-6210,031-839-6205,031-839-6200,031-839-6566,11469,"경기도 양주시 옥정서로5길 121 , 양주도담학교 (옥정동)",https://yangjudodam-s.goedy.kr/yangjudodam-s/
경기,공립,용인다움학교,지적장애,전영숙,031-728-1503,031-728-1500,031-728-1501,031-728-1598,17043,"경기도 용인시 처인구 백옥대로1191번길 162 , 용인다움학교 (유방동)",www.yongindaum.sc.kr
경기,공립,의왕정음학교,지적장애,황정애,031-426-0020,031-426-0019,031-426-0020,031-426-0017,16007,"경기도 의왕시 벌모루길 74 , 의왕정음학교 (포일동)",www.jeongeum.sc.kr/
경기,공립,자운학교,지적장애,노미리,031-935-8100,031-935-8130,031-935-8120,031-935-8133,10900,"경기도 파주시 교하로 220 (목동동, 자운학교)",www.jaun.sc.kr
경기,공립,화성나래학교,지적장애,서병국,031-8055-7620,031-8055-7600,031-8055-7630,031-377-9704,18489,"경기도 화성시 동탄대로10길 11 , 화성나래학교 (산척동)",www.hsnarae.sc.kr
경기,사립,에바다학교,청각장애,박창숙,031-611-9341,031-611-9343,031-611-9342,031-611-9347,17714,경기도 평택시 진위면 하북4길 129-23 에바다학교(진위면),www.ebada.sc.kr
경기,사립,한우리학교,청각장애,이보훈,031-352-3090,031-352-3090,031-354-3089,031-352-3091,18520,"경기도 화성시 정남면 관항길 243 , 한우리학교 (정남면)",www.hwr.sc.kr
경기,사립,동방학교,지적장애,서종만,031-651-1275,031-651-1271,031-651-1274,031-651-1270,17877,"경기도 평택시 소사1길 33 , 동방학교 (소사동)",https://dongbang-s.goept.kr/
경기,사립,동현학교,지적장애,하준석,031-764-0987,031-764-0983,031-764-0982,031-764-0981,12722,"경기도 광주시 곤지암읍 광여로 555-55 (곤지암읍, 동현학교)",donghyun.sc.kr
경기,사립,명현학교,지적장애,안수연,02-3156-4260,02-381-8029,02-381-6587,02-381-5117,10555,"경기도 고양시 덕양구 세솔로 138 (삼송동, 명현학교)",www.myhy.sc.kr
경기,사립,밝은학교,지적장애,조염미,031-911-7060,031-911-7060,031-911-7060,031-911-7040,10220,"경기도 고양시 일산서구 대화로37번길 104-9 , 밝은학교 (법곳동)",www.bgn.sc.kr
경기,사립,부천혜림학교,지적장애,이성희,032-666-7994,032-664-7995,032-666-7994,032-664-7994,14753,경기도 부천시 경인로304번길 26 부천혜림학교 (심곡본동),www.hl.sc.kr
경기,사립,새얼학교,지적장애,이규식,031-958-7006,031-958-7003,031-958-7004,031-958-5355,10806,"경기도 파주시 법원읍 술이홀로1333번길 69-1 (법원읍, 새얼학교)",www.saeul.sc.kr
경기,사립,성광학교,지적장애,김경학,070-8702-3374,031-796-3104,031-791-8181,031-793-0007,12963,"경기도 하남시 신장로55번길 71 , 성광학교 (천현동, 성광학교)",www.sksk.org
경기,사립,성심학교,지적장애,임봉숙,031-370-7901,031-370-7930,031-370-7900,031-370-7940,18102,"경기도 오산시 독산성로 140-24 , 성심학교 (지곶동)",www.seongsim.sc.kr
경기,사립,수원서광학교,지적장애,김교일,031-258-7611,031-256-8005,031-258-7613,031-252-8005,16210,"경기도 수원시 장안구 장안로 517 (이목동,수원서광학교)",www.seokwang.sc.kr
경기,사립,용인강남학교,지적장애,이혜영,031-899-2000,031-899-2008,031-899-2114,031-899-2115,16979,경기도 용인시 기흥구 강남동로140번길 1-7 (상하동),www.kangnam.sc.kr
경기,사립,인덕학교,지적장애,박월리,031-763-6180,031-763-6187,031-763-6182,031-763-6188,12748,"경기도 광주시 사기막길95번길 59 , 인덕학교 (탄벌동)",www.induk.sc.kr
경기,사립,자혜학교,지적장애,최진숙,031-292-1138,031-293-6682,031-292-2579,031-298-6683,16610,"경기도 수원시 권선구 수봉로 47 (탑동, 자혜학교)",www.jh.sc.kr
경기,사립,창인학교,지적장애,이원정,031-774-7953,031-774-7955,031-774-7905,031-774-6898,12528,"경기도 양평군 단월면 백동길 92 , 창인학교 (단월면 )",www.changin.or.kr
경기,사립,한길학교,지적장애,장은주,070-4550-7910,031-677-9044,031-675-6666,031-677-2127,17505,"경기도 안성시 고삼면 행복길 25 (고삼면, 한길학교)",www.hgjob.org
경기,사립,해원학교,지적장애,장영실,031-351-0806,031-351-0805,031-351-0806,031-351-0807,18584,"경기도 화성시 장안면 은골길30번길 43 해원학교 (장안면, 해원학교)",www.haewon.sc.kr
경기,사립,홀트학교,지적장애,김봉환,031-915-2911,031-915-2913,031-915-2912,031-915-2910,10249,"경기도 고양시 일산서구 탄현로 42 , 홀트학교 (탄현동)",www.holt.sc.kr
경기,사립,희망학교,지적장애,홍인숙,031-829-8514,031-829-8512,031-829-8511,031-829-8513,11606,"경기도 의정부시 진등로11번길 9-2 (녹양동, 희망학교)",www.huimang.or.kr
경기,사립,광주새롬학교,지체장애,금시대,031-799-3900,031-799-3951,031-799-3949,031-799-3959,12728,경기도 광주시 초월읍 경수길 25 (초월읍),www.gjsaerom.sc.kr
경기,사립,명혜학교,지체장애,문선희,031-406-1137,031-406-1137,031-406-1137,031-407-4147,15627,"경기도 안산시 상록구 해안로 865 (사동, 명혜학교)",www.myhe.sc.kr
경기,사립,한사랑학교,지체장애,엄범순,031-762-1247,031-798-2397,031-762-4891,031-762-4894,12729,"경기도 광주시 초월읍 산수로554번길 59-12 , 한사랑학교 (초월읍)",www.hsr.sc.kr
강원,공립,춘천계성학교,청각장애,김희경,033-256-4653,033-256-4652,033-256-4651,033-256-4654,24286,"강원도 춘천시 후만로24번길 45 (후평동,춘천계성학교)",kds76.gwe.sc.kr
강원,공립,강릉오성학교,지적장애,김성인,033-820-5001,033-820-5090,033-820-5004,033-653-3566,25557,"강원도 강릉시 송정길 43 (송정동, 강릉오성학교)",www.knose.gwe.sc.kr
강원,공립,동해해솔학교,지적장애,장재만,033-530-3401,033-530-3412,033-530-3405,033-530-3409,25736,"강원도 동해시 부곡5길 14 (부곡동, 동해해솔학교)",https://haesol.gwe.sc.kr　
강원,공립,봉대가온학교,지적장애,이동건,033-769-9101,033-769-9110,033-769-9100,033-769-9106,26463,"강원도 원주시 봉대길 33 , 봉대가온학교 (반곡동)",gaon.gwe.sc.kr
강원,공립,속초청해학교,지적장애,현종섭,033-638-6601,033-638-6606,033-638-6602,033-638-6607,24802,"강원도 속초시 동해대로4511번길 32 (장사동, 속초청해학교)",cheonghae.gwe.sc.kr
강원,공립,원주청원학교,지적장애,이정미,033-732-0612,033-732-0616,033-745-0612,033-748-1511,26410,"강원도 원주시 원문로137번길 34 , 원주청원학교 (단계동)",chongwon.gwe.sc.kr
강원,공립,춘천동원학교,지적장애,김범표,033-242-6106,033-241-6124,033-242-6119,033-241-6125,24204,"강원도 춘천시 신북읍 상천1길 31 , 춘천동원학교",https://dongwon.gwe.sc.kr
강원,공립,태백라온학교,지적장애,전성호,070-4340-2000,033-582-9183,033-582-9182,033-582-9184,26053,"강원도 태백시 금천길 179 (금천동, 태백라온학교)",tbraon.gwe.sc.kr
강원,사립,강원명진학교,시각장애,박홍식,033-253-3015,033-253-3012,033-253-3011,033-256-3549,24228,"강원도 춘천시 충열로 60 (우두동,강원명진학교)",mj.gwe.sc.kr
충북,공립,청주혜원학교,지적장애,정우섭,043-286-0992,043-286-6882,043-286-6881,043-286-0995,28751,충청북도 청주시 상당구 중고개로248번길 25 (금천동),school.cbe.go.kr/cjhyewon-s
충북,공립,충주혜성학교,지적장애,남경희,043-870-4700,043-870-4702,043-870-4701,043-854-4703,27450,"충청북도 충주시 노은면 감노로 1057 , 충주혜성학교 (노은면)",school.cbe.go.kr/cjhs-s
충북,공립,청주혜화학교,지체장애,심명숙,043-233-0162,043-233-0164,043-233-0163,043-233-0165,28178,충청북도 청주시 서원구 남이면 구암길 52-7 (남이면),school.cbe.go.kr/cjhyehwa-s
충북,사립,청주맹학교,시각장애,윤석우,043-253-0999,043-253-7762,043-253-7761,043-222-7220,28723,"충청북도 청주시 상당구 영운로 122-1 (탑동, 청주맹학교)",school.cbe.go.kr/chsb-s
충북,사립,충주성모학교,시각장애,이민경,043-852-1375,043-843-1374,043-852-1374,043-844-7816,27489,"충청북도 충주시 방아길 48-9 (호암동,충주성모학교)",school.cbe.go.kr/chungjusm-s
충북,사립,충주성심학교,청각장애,홍향순,043-854-4642,043-847-3230,043-852-1557,043-843-1336,27375,"충청북도 충주시 봉현로 261 , 충주성심학교 (교현동)",school.cbe.go.kr/sungsim-s
